CustomerID,Gender,Age,MonthlyCharges,ContractType,TenureMonths,PaymentMethod,SupportCalls,SatisfactionScore,Churn
C00044,Female,43.0,100.07,Yearly,2,Credit Card,1,7.0,No
C00045,Male,42.0,110.15,Monthly,32,Credit Card,4,9.0,No
C00046,Female,26.0,32.58,Monthly,11,E-Wallet,0,,No
C00047,Male,51.0,61.09,Monthly,4,E-Wallet,1,6.0,No
C00048,Female,47.0,44.97,Monthly,14,Bank Transfer,4,6.0,No
C00049,Female,,39.9,Monthly,5,E-Wallet,4,7.0,No
C00050,Male,38.0,62.06,Monthly,9,Bank Transfer,2,5.0,No
C00051,Female,21.0,91.23,Monthly,6,Credit Card,1,,No
C00052,Female,49.0,,Yearly,26,Bank Transfer,4,,No
C00053,Female,34.0,47.29,Yearly,62,Credit Card,2,9.0,No
C00054,Female,21.0,68.83,Monthly,3,Bank Transfer,1,7.0,No
C00055,Female,54.0,46.43,Monthly,1,Credit Card,2,7.0,No
C00056,Female,63.0,65.72,Two-Year,3,Credit Card,2,8.0,No
C00057,Male,37.0,102.35,Yearly,11,E-Wallet,7,9.0,No
C00058,Male,63.0,21.44,Monthly,3,Credit Card,3,8.0,No
C00059,Male,39.0,78.16,Monthly,21,Credit Card,0,6.0,No
C00060,M,33.0,27.31,Two-Year,7,Cash,3,6.0,No
C00061,Male,30.0,94.89,Monthly,12,Bank Transfer,5,1.0,No
C00062,Male,,40.99,Yearly,8,Bank Transfer,0,,No
C00063,Female,28.0,31.56,Monthly,29,E-Wallet,1,8.0,No
C00064,Male,46.0,74.65,Monthly,1,Bank Transfer,3,5.0,No
C00065,Male,31.0,64.32,Monthly,16,Credit Card,3,5.0,No
C00066,Female,32.0,34.83,Monthly,13,Bank Transfer,2,8.0,No
C00067,Male,50.0,31.07,Monthly,13,E-Wallet,2,4.0,No
C00068,Female,33.0,50.18,Yearly,7,E-Wallet,2,5.0,No
C00069,Male,33.0,31.76,Monthly,1,Credit Card,6,5.0,No
C00070,Female,51.0,33.86,Yearly,15,Credit Card,4,4.0,No
C00071,Female,57.0,57.51,Monthly,22,Credit Card,1,5.0,No
C00072,Male,45.0,35.35,Monthly,2,Bank Transfer,3,1.0,No
C00073,Male,30.0,66.15,Monthly,7,Credit Card,5,10.0,Yes
C00074,Female,31.0,106.76,Two-Year,3,E-Wallet,4,6.0,No
C00075,Female,38.0,51.07,Monthly,12,Cash,1,7.0,No
C00076,Female,41.0,57.89,Monthly,19,E-Wallet,2,2.0,Yes
C00077,Female,26.0,135.39,Two-Year,14,Cash,2,5.0,No
C00078,Male,,31.99,Monthly,5,Credit Card,4,7.0,No
C00079,Male,39.0,93.32,Yearly,2,E-Wallet,2,4.0,No
C00080,Male,18.0,88.4,Yearly,19,E-Wallet,5,8.0,No
C00081,Female,26.0,80.19,Monthly,5,Credit Card,4,7.0,No
C00082,Female,31.0,97.64,Monthly,1,Credit Card,4,6.0,No
C00083,Male,37.0,61.95,Two-Year,11,Bank Transfer,3,6.0,No
C00084,Male,60.0,42.0,Monthly,4,E-Wallet,1,5.0,No
C00085,Male,40.0,89.35,Monthly,23,,2,2.0,No
C00086,Male,27.0,90.9,Monthly,2,Bank Transfer,3,7.0,Yes
C00087,Female,40.0,,Monthly,7,E-Wallet,4,4.0,No
C00088,Female,33.0,55.7,Yearly,4, E-Wallet,3,6.0,No
C00089,Female,41.0,39.56,Two-Year,15,E-Wallet,2,9.0,No
C00090,Male,44.0,59.51,Two-Year,10,Bank Transfer,5,6.0,No
C00091,Male,52.0,83.43,Two-Year,19,Credit Card,0,7.0,No
C00092,Female,37.0,86.57,Monthly,8,Cash,5,4.0,Yes
C00093,Female,57.0,45.0,Yearly,1,Bank Transfer,2,3.0,Yes
C00094,Female,48.0,62.92,Monthly,3,E-Wallet,2,8.0,No
C00095,Female,29.0,30.3,Monthly,72,Bank Transfer,2,8.0,No
C00096,M,64.0,85.05,Yearly,7,Cash,2,9.0,No
C00097,Female,41.0,38.38,Monthly,12,Credit Card,2,10.0,No
C00098,Male,27.0,77.74,Two-Year,29,Bank Transfer,1,5.0,No
C00099,Male,57.0,32.55,Monthly,1,Credit Card,3,7.0,No
C00100,FEMALE,62.0,86.85,Yearly,13,Credit Card,5,,No
C00101,Male,37.0,63.11,Monthly,5,Credit Card,3,10.0,No
C00102,Female,31.0,38.41,Monthly,4,Bank Transfer,3,9.0,No
C00103,FEMALE,35.0,74.52,Monthly,4,E-Wallet,1,5.0,No
C00104,Male,46.0,41.86,Monthly,21,Bank Transfer,2,10.0,No
C00105,Female,53.0,76.5,Monthly,6,Bank Transfer,5,8.0,No
C00106,Male,44.0,48.26,Two-Year,1,Cash,1,7.0,No
C00107,Male,39.0,25.17,Monthly,2,E-Wallet,1,,Yes
C00108,Female,55.0,35.09,Monthly,2,Credit Card,2,10.0,No
C00109,Male,34.0,44.98,Monthly,28,Credit Card,1,10.0,No
C00110,Male,50.0,101.06,Monthly,7,Credit Card,4,6.0,Yes
C00111,Male,34.0,81.9,Monthly,30,Credit Card,5,7.0,No
C00112,Male,43.0,113.38,Monthly,21,Credit Card,0,8.0,No
C00113,male,36.0,114.91,Monthly,22,E-Wallet,4,4.0,No
C00114,Female,37.0,42.92,Yearly,5,Credit Card,3,7.0,No
C00115,Female,33.0,50.16, Monthly ,4,Credit Card,3,8.0,Yes
C00116,Female,54.0,45.37,Monthly,10,Credit Card,3,10.0,No
C00117,Female,29.0,40.36,Monthly,7,Bank Transfer,2,6.0,No
C00118,M,29.0,23.84,Monthly,9,E-Wallet,3,7.0,No
C00119,Female,63.0,54.24,Yearly,1,Cash,2,5.0,No
C00120,Female,49.0,30.62,Monthly,43,Bank Transfer,5,8.0,No
C00121,Female,18.0,53.76,Monthly,1,Bank Transfer,2,6.0,No
C00122,Female,31.0,141.47,Monthly,3,E-Wallet,1,8.0,Yes
C00123,Male,18.0,43.41,Two-Year,14,E-Wallet,3,5.0,No
C00124,Male,26.0,59.6,Monthly,3,,0,3.0,No
C00125,Male,18.0,82.1,Monthly,2,E-Wallet,4,5.0,No
C00126,Male,36.0,,Monthly,3,Bank Transfer,4,10.0,No
C00127,Female,24.0,62.28,Monthly,1,Cash,2,6.0,Yes
C00128,Female,,46.38,Monthly,4,Credit Card,2,6.0,Yes
C00129,Male,18.0,49.19,Two-Year,4,Bank Transfer,2,7.0,No
C00130,Male,38.0,35.45,Monthly,9,Credit Card,1,7.0,No
C00131,Male,33.0,79.9,Yearly,7,E-Wallet,1,8.0,No
C00132,Male,56.0,24.94,Monthly,8,Credit Card,3,7.0,No
C00133,Male,54.0,84.52,Monthly,12,Bank Transfer,4,10.0,No
C00134,Male,47.0,29.03,Two-Year,4,E-Wallet,1,9.0,No
C00135,Female,34.0,84.2,Monthly,2,Bank Transfer,2,,Yes
C00136,Male,61.0,46.56,Monthly,26,Bank Transfer,3,8.0,No
C00137,Male,19.0,31.36,Two-Year,13,Bank Transfer,3,7.0,Yes
C00138,Female,21.0,,Two-Year,1,E-Wallet,3,6.0,No
C00139,Male,36.0,82.93,Yearly,39,Bank Transfer,2,8.0,No
C00140,Female,65.0,44.83,Yearly,15,E-Wallet,7,4.0,Yes
C00141,Female,,75.51,Monthly,2,E-Wallet,2,4.0,No
C00142,M,35.0,19.53,Monthly,42,Credit Card,2,6.0,No
C00143,Male,20.0,30.14,Yearly,6,Bank Transfer,4,7.0,No
C00144,Male,49.0,97.67,Two-Year,51,Credit Card,1,5.0,No
C00145,Male,49.0,49.37,Monthly,2,Credit Card,3,8.0,No
C00146,Male,47.0,23.62,Monthly,3,Bank Transfer,3,4.0,No
C00147,Female,30.0,39.87,Monthly,13,,3,6.0,No
C00148,Male,29.0,36.03,Monthly,1,Credit Card,1,3.0,No
C00149,Male,22.0,50.67,Monthly,1,Bank Transfer,5,7.0,Yes
C00150,Male,39.0,46.21,Yearly,19,Credit Card,0,10.0,No
C00151,Female,25.0,59.18,Monthly,3,,0,7.0,Yes
C00152,Male,23.0,52.92,Monthly,31,Bank Transfer,2,,No
C00153,Male,32.0,100.67,Monthly,7,E-Wallet,4,9.0,No
C00154,F,32.0,66.09,Monthly,25,Bank Transfer,1,6.0,No
C00155,Female,31.0,67.08,Monthly,7,Credit Card,1,8.0,Yes
C00156,Male,,92.23,Monthly,10,Cash,4,4.0,No
C00157,Female,38.0,45.84,Monthly,5,Bank Transfer,2,6.0,Yes
C00158,Female,34.0,30.94,Monthly,13,Bank Transfer,2,7.0,No
C00159,Male,,93.99,Monthly,5,Bank Transfer,3,5.0,No
C00160,Female,,58.04,Monthly,4,E-Wallet,6,,Yes
C00161,Male,39.0,58.13,Two-Year,2,,1,5.0,No
C00162,Female,39.0,41.06,Yearly,1,Credit Card,4,8.0,No
C00163,Female,,41.36,Yearly,5,,0,4.0,No
C00164,Female,49.0,79.92,Monthly,17,Credit Card,0,5.0,No
C00165,Male,27.0,85.04,Monthly,3,Bank Transfer,1,7.0,No
C00166,Female,39.0,77.69,Monthly,5,Bank Transfer,3,,No
C00167,Male,51.0,,Yearly,29,,5,10.0,No
C00168,Male,49.0,70.53,Monthly,13,Bank Transfer,3,,No
C00169,Male,38.0,57.93,Yearly,31, E-Wallet,3,5.0,No
C00170,Female,33.0,50.45,Monthly,30, E-Wallet,6,7.0,Yes
C00171,Female,49.0,94.13,Monthly,1,Credit Card,4,10.0,Yes
C00172,Male,46.0,46.15,Monthly,38,Credit Card ,1,3.0,Yes
C00173,Male,30.0,64.49,Yearly,1,Cash,1,4.0,No
C00174,Male,28.0,38.02,Monthly,32,Credit Card,1,5.0,Yes
C00175,Female,18.0,40.58,Monthly,10,Credit Card,1,10.0,No
C00176,Male,39.0,49.09,Two-Year,10,Cash,1,8.0,No
C00177,Female,37.0,38.02,Monthly,15,E-Wallet,5,5.0,No
C00178,Male,51.0,78.18,Monthly,26,E-Wallet,2,9.0,Yes
C00179,Female,42.0,29.77,Monthly,12,Credit Card,4,7.0,No
C00180,Male,54.0,57.09,Monthly,7,Credit Card,6,7.0,Yes
C00181,Male,29.0,57.95,Monthly,2,Credit Card,0,7.0,Yes
C00182,Male,51.0,24.17,Yearly,19,Bank Transfer,1,5.0,No
C00183,Female,31.0,44.77,Monthly,2,Credit Card,1,7.0,Yes
C00184,Female,47.0,61.26,Yearly,16,Credit Card,2,6.0,No
C00185,Male,20.0,66.22,Monthly,10,Credit Card,3,10.0,No
C00186,Female,40.0,49.8,Monthly,6,E-Wallet,5,10.0,No
C00187,Female,18.0,74.04,Two-Year,12,E-Wallet,3,6.0,No
C00188,Female,34.0,51.98,Monthly,18,Bank Transfer,5,7.0,No
C00189,Female,43.0,54.93,Yearly,34,Credit Card,2,4.0,Yes
C00190,Male,31.0,61.14,Yearly,4,E-Wallet,4,7.0,No
C00191,Male,25.0,82.86,Monthly,36,Bank Transfer,2,,No
C00192,Female,48.0,40.28,Monthly,39,Credit Card ,3,5.0,No
C00193,Female,36.0,43.86,Monthly,21,Cash,2,8.0,No
C00194,Female,32.0,40.41,Two-Year,26,Credit Card,1,4.0,No
C00195,Male,38.0,47.02,Monthly,15,Bank Transfer,2,5.0,No
C00196,Male,69.0,103.73,Monthly,1,E-Wallet,3,5.0,No
C00197,Female,51.0,70.65,Monthly,11,Credit Card,2,6.0,No
C00198,Female,51.0,32.82,Monthly,17,Credit Card,2,9.0,No
C00199,Female,43.0,,Monthly,35,,2,9.0,No
C00200,Female,39.0,64.57,Monthly,11,Credit Card,5,6.0,No
C00201,Female,18.0,36.31,Two-Year,19,Bank Transfer,2,9.0,No
C00202,Male,29.0,,Monthly,15,E-Wallet,4,6.0,No
C00203,Male,32.0,100.01,Monthly,4,Credit Card,3,7.0,Yes
C00204,Female,18.0,41.43,Monthly,3,Bank Transfer,0,6.0,Yes
C00205,Female,24.0,83.9,Yearly,17,Credit Card,2,8.0,No
C00206,Male,18.0,96.05,Monthly,4,Credit Card,3,5.0,No
C00207,Male,37.0,39.25,Monthly,4,E-Wallet,0,6.0,No
C00208,Female,47.0,36.58,Monthly,13,E-Wallet,0,9.0,No
C00209,Male,51.0,48.22,Monthly,19,,4,6.0,No
C00210,Male,42.0,33.45,Monthly,11,Credit Card,3,,No
C00211,Female,26.0,57.65,Monthly,26,Bank Transfer,2,3.0,Yes
C00212,Female,18.0,49.77,Monthly,3,Credit Card,2,8.0,Yes
C00213,Female,18.0,64.22,Monthly,4,E-Wallet,5,,No
C00214,Male,,102.37,Yearly,13,Credit Card,2,10.0,No
C00215,Female,,78.88,Monthly,22,E-Wallet,2,8.0,No
C00216,Male,36.0,68.04,Two-Year,10,Credit Card,3,4.0,No
C00217,Male,25.0,22.54,Monthly,1,E-Wallet,1,7.0,No
C00218,Female,42.0,66.65,Yearly,14,Bank Transfer,3,5.0,No
C00219,Female,35.0,118.53,Monthly,21,E-Wallet,2,8.0,No
C00220,Female,38.0,14.09,Monthly,4,E-Wallet,2,6.0,No
C00221,Female,,74.46,Yearly,1,Credit Card,2,10.0,No
C00222,Female,23.0,50.82,Monthly,9,Bank Transfer,4,10.0,No
C00223,Male,43.0,37.25,Monthly,1,Bank Transfer,3,5.0,No
C00224,Male,37.0,78.3,Yearly,7,Bank Transfer,3,6.0,No
C00225,Male,33.0,117.84,Yearly,1,Bank Transfer,0,8.0,No
C00226,Male,48.0,77.39,Monthly,4,Credit Card,4,5.0,No
C00227,Female,48.0,46.2,Monthly,6,Credit Card,1,5.0,No
C00228,FEMALE,26.0,35.71,Monthly,2,Bank Transfer,3,3.0,No
C00229,Female,35.0,58.27,Two-Year,2,Credit Card,3,4.0,No
C00230,Female,41.0,80.88,Monthly,22,Cash,2,8.0,No
C00231,Female,34.0,45.87,Yearly,1,Bank Transfer,1,7.0,No
C00232,F,45.0,47.91,Monthly,15,Bank Transfer,1,5.0,Yes
C00233,Female,41.0,194.4,Monthly,21,Credit Card,3,8.0,No
C00234,Male,59.0,88.71,Monthly,2,Bank Transfer,0,2.0,Yes
C00235,Male,19.0,91.61,Monthly,3,Credit Card,4,6.0,No
C00236,Female,36.0,28.3,Monthly,13,E-Wallet,7,7.0,No
C00237,Male,27.0,39.72,Monthly,5,Credit Card,1,4.0,No
C00238,Male,45.0,56.46,Monthly,8,E-Wallet,4,8.0,No
C00239,Female,18.0,34.8,Monthly,22,Bank Transfer,2,8.0,No
C00240,Male,42.0,112.19,Monthly,2,E-Wallet,4,7.0,Yes
C00241,Female,30.0,102.99, Monthly ,12,Credit Card,2,5.0,Yes
C00242,Female,29.0,42.94,Yearly,35,Credit Card,6,5.0,No
C00243,Female,20.0,121.85,Monthly,1,Credit Card,1,6.0,No
C00244,Male,32.0,54.49,Monthly,1,Bank Transfer,3,5.0,No
C00245,Male,51.0,175.08,Two-Year,10,Credit Card,5,7.0,No
C00246,Female,37.0,,Monthly,39,Credit Card,4,9.0,No
C00247,Male,45.0,70.76,Two-Year,3,Credit Card,2,8.0,Yes
C00248,Female,57.0,102.51,Monthly,5,E-Wallet,2,6.0,No
C00249,Female,41.0,97.02,Monthly,2,Bank Transfer,2,7.0,Yes
C00250,Female,31.0,68.71,Monthly,6,Cash,2,7.0,Yes
C00251,Male,43.0,51.24,Monthly,1,Bank Transfer,3,,Yes
C00252,Male,31.0,68.81,Monthly,6,Credit Card,3,7.0,No
C00253,Female,31.0,37.82,Monthly,10,,2,15.0,No
C00254,Male,19.0,58.47,Yearly,45,Bank Transfer,3,7.0,No
C00255,Male,49.0,33.14,Monthly,21,,5,9.0,No
C00256,Female,33.0,24.5,Monthly,21,Cash,2,4.0,No
C00257,Female,40.0,55.85,Monthly,4,Bank Transfer,3,8.0,Yes
C00258,Female,25.0,96.35,Yearly,2,Credit Card ,4,6.0,No
C00259,Female,43.0,82.82,Monthly,12,E-Wallet,2,7.0,No
C00260,Male,28.0,52.62,Monthly,9,E-Wallet,3,7.0,No
C00261,Female,36.0,119.84,Yearly,9,,1,1.0,No
C00262,Female,48.0,42.26,Two-Year,2,Credit Card,1,10.0,Yes
C00263,Male,47.0,23.03,Monthly,9,Credit Card ,2,4.0,No
C00264,Male,37.0,20.45,Two-Year,2,Credit Card,2,4.0,Yes
C00265,Female,18.0,32.09, Monthly ,7,Credit Card,1,6.0,No
C00266,Female,73.0,78.84,Two-Year,1,,2,5.0,No
C00267,Female,58.0,41.03,Monthly,24,E-Wallet,4,5.0,No
C00268,Female,46.0,67.18,Yearly,1,Credit Card,4,7.0,No
C00269,Male,28.0,114.53,Yearly,34,Credit Card,1,7.0,Yes
C00270,Male,36.0,33.28, Monthly ,24,E-Wallet,2,6.0,No
C00271,Female,31.0,67.72,Monthly,17,Credit Card,1,6.0,No
C00272,Female,53.0,69.58,Monthly,49,,0,6.0,No
C00273,Female,41.0,37.06,Monthly,1,Cash,4,6.0,Yes
C00274,Female,28.0,100.42,Monthly,13,Bank Transfer,3,8.0,No
C00275,Male,32.0,47.97,Two-Year,23,E-Wallet,4,10.0,No
C00276,Male,51.0,45.94,Monthly,2,E-Wallet,2,8.0,No
C00277,male,57.0,141.21,Monthly,11, E-Wallet,6,10.0,No
C00278,Female,56.0,69.08,Monthly,7,Cash,1,1.0,No
C00279,Female,47.0,82.8,Monthly,7,Bank Transfer,3,6.0,Yes
C00280,Female,34.0,100.45,Monthly,30,E-Wallet,2,5.0,No
C00281,Female,18.0,40.74,Monthly,10,E-Wallet,3,10.0,No
C00282,Male,41.0,95.82,Yearly,2,,2,8.0,No
C00283,Male,37.0,43.56,Yearly,34,E-Wallet,3,7.0,No
C00284,Male,39.0,42.73,Yearly,3,E-Wallet,2,8.0,No
C00285,Female,38.0,48.31,Yearly,27,Credit Card,3,10.0,No
C00286,Male,22.0,41.27,Monthly,43,Credit Card,8,5.0,No
C00287,Male,44.0,79.04,Yearly,26,Credit Card,1,5.0,No
C00288,Female,,61.57,Monthly,14,Credit Card ,1,6.0,Yes
C00289,Male,46.0,43.77,Monthly,17,Credit Card,6,7.0,No
C00290,Female,49.0,73.96,Monthly,15,Credit Card,5,8.0,No
C00291,Male,45.0,48.24,Monthly,8,Cash,4,7.0,Yes
C00292,Male,33.0,47.1,Monthly,4,Credit Card,0,7.0,No
C00293,Female,37.0,55.81,Monthly,5,Bank Transfer,1,8.0,Yes
C00294,Male,39.0,67.26,Monthly,16,E-Wallet,4,8.0,No
C00295,Male,39.0,65.07,Monthly,12,Credit Card,3,6.0,No
C00296,Female,49.0,46.36,Yearly,11,Credit Card,8,8.0,No
C00297,Female,45.0,79.93,Monthly,13,Credit Card,1,6.0,No
C00298,Male,62.0,49.4,Two-Year,18,Credit Card,0,6.0,No
C00299,Female,,40.66,Monthly,17,Cash,1,10.0,No
C00300,Male,38.0,,Monthly,2,E-Wallet,1,4.0,Yes
C00301,Male,18.0,84.98,Monthly,6,E-Wallet,0,7.0,No
C00302,Female,52.0,54.9,Two-Year,4,E-Wallet,5,7.0,No
C00303,Female,31.0,60.03,Monthly,10,Credit Card,4,9.0,No
C00304,Female,28.0,87.41,Monthly,1,E-Wallet,3,10.0,No
C00305,Female,33.0,44.04,Monthly,18,E-Wallet,3,,No
C00306,F,32.0,29.42,Monthly,2,Cash,2,7.0,No
C00307,Male,45.0,56.34,Monthly,4,Credit Card,4,8.0,No
C00308,Male,19.0,62.71,Yearly,19,Bank Transfer,2,5.0,No
C00309,Female,25.0,48.51,Monthly,1,Credit Card,1,,No
C00310,Male,42.0,,Monthly,13,Credit Card,3,,No
C00311,Male,45.0,,Monthly,32,E-Wallet,1,10.0,Yes
C00312,Male,45.0,90.38,Monthly,12,Credit Card,2,6.0,No
C00313,Male,28.0,77.95,Two-Year,15,Bank Transfer,4,8.0,No
C00314,Female,26.0,67.06,Yearly,19,Bank Transfer,2,4.0,Yes
C00315,Female,31.0,12.17,Monthly,4,Credit Card,1,,No
C00316,Female,40.0,97.3,Monthly,11,Credit Card,6,6.0,No
C00317,Male,55.0,34.4,Two-Year,5,Cash,2,,Yes
C00318,Male,18.0,43.45,Monthly,4,E-Wallet,3,1.0,No
C00319,M,35.0,50.56,Monthly,3,E-Wallet,3,10.0,Yes
C00320,Male,22.0,65.58,Two-Year,11,E-Wallet,3,4.0,Yes
C00321,Female,18.0,72.8,Monthly,19,Credit Card,2,6.0,No
C00322,Female,49.0,81.6,Monthly,26,Credit Card,1,10.0,Yes
C00323,Female,44.0,78.82,Monthly,7,Credit Card,3,,No
C00324,FEMALE,43.0,61.18,Two-Year,6,Credit Card ,5,4.0,No
C00325,Female,49.0,65.84,Monthly,14,Bank Transfer,5,8.0,No
C00326,Female,32.0,33.42,Monthly,19,Credit Card,2,3.0,No
C00327,Female,32.0,38.94,Yearly,4,Credit Card,0,10.0,No
C00328,Female,64.0,81.69,Yearly,5,,1,6.0,No
C00329,Male,35.0,79.58,Monthly,10,Bank Transfer,3,7.0,No
C00330,Male,46.0,75.62,Monthly,8,Cash,0,7.0,No
C00331,Male,38.0,43.32,Monthly,15,Credit Card,2,6.0,No
C00332,Female,18.0,82.25,Monthly,9,Bank Transfer,2,9.0,No
C00333,Male,18.0,32.38,Monthly,2,E-Wallet,3,4.0,Yes
C00334,Male,,88.66,Yearly,3,E-Wallet,2,6.0,No
C00335,Male,50.0,48.55,Monthly,28,Credit Card,2,7.0,No
C00336,Male,47.0,116.5,Monthly,4,Credit Card,2,,No
C00337,Female,,27.53,Monthly,1,Credit Card,3,3.0,No
C00338,Female,,120.73,Monthly,16,E-Wallet,3,7.0,No
C00339,Male,,,Yearly,14,Bank Transfer,2,6.0,No
C00340,Male,26.0,46.03,Yearly,11,,5,5.0,No
C00341,Male,40.0,59.6,Monthly,9,Credit Card,3,10.0,Yes
C00342,Male,37.0,39.9,Monthly,42,,2,8.0,Yes
C00343,Male,35.0,52.85,Monthly,2,Credit Card,1,5.0,Yes
C00344,Male,54.0,39.18,Monthly,9,E-Wallet,2,6.0,No
C00345,Male,29.0,39.83,Monthly,10,E-Wallet,3,5.0,No
C00346,Female,21.0,67.97,Monthly,1,Bank Transfer,2,5.0,No
C00347,Female,38.0,36.39,Monthly,7,Bank Transfer,5,5.0,Yes
C00348,Male,33.0,38.64,Monthly,19,Credit Card,3,7.0,No
C00349,Male,78.0,29.44,Monthly,8,Bank Transfer,1,5.0,No
C00350,Female,46.0,43.52,Monthly,25,Credit Card,2,4.0,Yes
C00351,Male,33.0,98.52,Monthly,13,E-Wallet,4,3.0,No
C00352,Female,,37.31,Yearly,18,Bank Transfer,2,7.0,Yes
C00353,Female,18.0,39.28,Monthly,20,Credit Card,4,7.0,Yes
C00354,Male,25.0,59.58,Two-Year,15,Credit Card,3,6.0,No
C00355,Male,39.0,46.21,Monthly,17,Credit Card,3,8.0,No
C00356,Female,55.0,148.81,Monthly,15,Credit Card,3,2.0,No
C00357,Male,51.0,50.75,Monthly,10,Cash,1,3.0,No
C00358,Female,40.0,63.49,Monthly,11, E-Wallet,2,6.0,No
C00359,Female,34.0,83.49,Yearly,3,Bank Transfer,3,8.0,Yes
C00360,Female,41.0,82.77,Monthly,22,Bank Transfer,0,5.0,No
C00361,Male,31.0,60.64,Monthly,5, E-Wallet,3,,No
C00362,Female,58.0,50.78,Monthly,10,Credit Card,6,7.0,No
C00363,Male,35.0,135.75,Monthly,4,Credit Card,5,10.0,No
C00364,Female,,52.2,Monthly,15,Bank Transfer,4,5.0,No
C00365,Female,18.0,44.76,Monthly,45,E-Wallet,3,6.0,No
C00366,Male,35.0,40.83,Monthly,20,Cash,4,7.0,No
C00367,Female,48.0,25.1,Yearly,12,Credit Card,0,7.0,No
C00368,Female,25.0,79.02,Monthly,11,Credit Card,4,2.0,No
C00369,Male,28.0,18.98,Monthly,9,E-Wallet,6,6.0,No
C00370,Male,47.0,54.46,Monthly,3,Bank Transfer,3,7.0,No
C00371,Male,20.0,,Yearly,6,Cash,1,5.0,No
C00372,Male,50.0,149.6,Yearly,7,Bank Transfer,1,10.0,No
C00373,Male,,,Monthly,35,Bank Transfer,6,7.0,No
C00374,Female,,36.4,Monthly,7,Credit Card,1,5.0,No
C00375,Male,24.0,51.35,Monthly,11,Credit Card,4,9.0,Yes
C00376,Male,42.0,49.95,Monthly,31,Credit Card,1,6.0,No
C00377,Female,67.0,42.64,Monthly,9,Credit Card,2,7.0,No
C00378,Male,47.0,52.64,Monthly,4,Bank Transfer,2,6.0,No
C00379,Female,27.0,30.98,Yearly,6,E-Wallet,3,9.0,No
C00380,Male,51.0,64.12,Monthly,6,Credit Card,1,5.0,No
C00381,Male,34.0,19.21,Monthly,16,Credit Card,0,5.0,No
C00382,Female,54.0,53.97,Monthly,5,Cash,2,4.0,Yes
